head_label,layer_idx,head_idx,count,mean_logit_baseline_wait,mean_logit_ablated_wait,mean_delta_ablated_minus_baseline,mean_abs_delta,max_abs_delta
L18H0,18,0,12,23.416667,23.141927,-0.27474,0.279948,0.6875
L11H2,11,2,12,23.416667,23.289062,-0.127604,0.278646,0.75
L23H8,23,8,12,23.416667,23.138021,-0.278646,0.278646,0.40625
L17H14,17,14,12,23.416667,23.690104,0.273438,0.273438,0.375
L9H10,9,10,12,23.416667,23.688802,0.272135,0.272135,0.53125
L2H1,2,1,12,23.416667,23.688802,0.272135,0.272135,0.40625
L24H2,24,2,12,23.416667,23.6875,0.270833,0.270833,0.5
L12H5,12,5,12,23.416667,23.169271,-0.247396,0.268229,0.59375
L11H11,11,11,12,23.416667,23.664062,0.247396,0.268229,0.5
L18H6,18,6,12,23.416667,23.148438,-0.268229,0.268229,0.4375
L22H8,22,8,12,23.416667,23.68099,0.264323,0.264323,0.546875
L24H0,24,0,12,23.416667,23.15625,-0.260417,0.260417,0.625
L25H2,25,2,12,23.416667,23.157552,-0.259115,0.259115,0.328125
L27H2,27,2,12,23.416667,23.157552,-0.259115,0.259115,0.578125
L26H10,26,10,12,23.416667,23.157552,-0.259115,0.259115,0.390625
L10H1,10,1,12,23.416667,23.158854,-0.257812,0.257812,0.4375
L21H0,21,0,12,23.416667,23.192708,-0.223958,0.257812,0.53125
L8H8,8,8,12,23.416667,23.160156,-0.25651,0.25651,0.375
L12H1,12,1,12,23.416667,23.160156,-0.25651,0.25651,0.375
L11H4,11,4,12,23.416667,23.174479,-0.242188,0.252604,0.375
L21H2,21,2,12,23.416667,23.295573,-0.121094,0.251302,0.5625
L26H3,26,3,12,23.416667,23.666667,0.25,0.25,0.390625
L9H7,9,7,12,23.416667,23.516927,0.10026,0.248698,0.625
L7H11,7,11,12,23.416667,23.167969,-0.248698,0.248698,0.375
L27H8,27,8,12,23.416667,23.169271,-0.247396,0.247396,0.3125
L20H1,20,1,12,23.416667,23.472656,0.05599,0.24349,0.5
L25H15,25,15,12,23.416667,23.175781,-0.240885,0.240885,0.40625
L10H15,10,15,12,23.416667,23.61849,0.201823,0.238281,0.4375
L1H5,1,5,12,23.416667,23.178385,-0.238281,0.238281,0.359375
L11H0,11,0,12,23.416667,23.179688,-0.236979,0.236979,0.40625
L13H10,13,10,12,23.416667,23.244792,-0.171875,0.234375,0.484375
L13H4,13,4,12,23.416667,23.532552,0.115885,0.233073,0.703125
L19H2,19,2,12,23.416667,23.294271,-0.122396,0.231771,0.46875
L21H14,21,14,12,23.416667,23.647135,0.230469,0.230469,0.390625
L5H1,5,1,12,23.416667,23.645833,0.229167,0.229167,0.625
L25H0,25,0,12,23.416667,23.188802,-0.227865,0.227865,0.359375
L23H14,23,14,12,23.416667,23.191406,-0.22526,0.22526,0.4375
L27H15,27,15,12,23.416667,23.641927,0.22526,0.22526,0.34375
L7H12,7,12,12,23.416667,23.192708,-0.223958,0.223958,0.3125
L0H5,0,5,12,23.416667,23.369792,-0.046875,0.223958,0.5
L13H9,13,9,12,23.416667,23.196615,-0.220052,0.222656,0.34375
L14H10,14,10,12,23.416667,23.299479,-0.117188,0.221354,0.390625
L15H11,15,11,12,23.416667,23.204427,-0.21224,0.217448,0.4375
L8H15,8,15,12,23.416667,23.544271,0.127604,0.216146,0.40625
L4H0,4,0,12,23.416667,23.200521,-0.216146,0.216146,0.4375
L7H1,7,1,12,23.416667,23.632812,0.216146,0.216146,0.3125
L16H12,16,12,12,23.416667,23.46224,0.045573,0.214844,0.71875
L9H2,9,2,12,23.416667,23.213542,-0.203125,0.210938,0.359375
L23H7,23,7,12,23.416667,23.207031,-0.209635,0.209635,0.4375
L15H2,15,2,12,23.416667,23.264323,-0.152344,0.207031,0.453125
L22H6,22,6,12,23.416667,23.231771,-0.184896,0.205729,0.53125
L0H4,0,4,12,23.416667,23.622396,0.205729,0.205729,0.828125
L6H7,6,7,12,23.416667,23.257812,-0.158854,0.205729,0.515625
L7H13,7,13,12,23.416667,23.619792,0.203125,0.203125,0.34375
L11H10,11,10,12,23.416667,23.59375,0.177083,0.203125,0.40625
L13H14,13,14,12,23.416667,23.606771,0.190104,0.203125,0.296875
L0H10,0,10,12,23.416667,23.566406,0.14974,0.201823,0.578125
L22H7,22,7,12,23.416667,23.559896,0.143229,0.200521,0.34375
L17H8,17,8,12,23.416667,23.220052,-0.196615,0.199219,0.390625
L9H9,9,9,12,23.416667,23.615885,0.199219,0.199219,0.359375
L23H11,23,11,12,23.416667,23.614583,0.197917,0.197917,0.25
L5H5,5,5,12,23.416667,23.252604,-0.164062,0.197917,0.40625
L22H14,22,14,12,23.416667,23.265625,-0.151042,0.197917,0.34375
L7H8,7,8,12,23.416667,23.610677,0.19401,0.19401,0.3125
L27H12,27,12,12,23.416667,23.610677,0.19401,0.19401,0.40625
L22H2,22,2,12,23.416667,23.223958,-0.192708,0.192708,0.34375
L5H0,5,0,12,23.416667,23.584635,0.167969,0.191406,0.359375
L10H2,10,2,12,23.416667,23.326823,-0.089844,0.191406,0.40625
L18H9,18,9,12,23.416667,23.604167,0.1875,0.1875,0.296875
L8H2,8,2,12,23.416667,23.602865,0.186198,0.186198,0.484375
L8H12,8,12,12,23.416667,23.235677,-0.18099,0.186198,0.359375
L0H8,0,8,12,23.416667,23.575521,0.158854,0.184896,0.390625
L20H0,20,0,12,23.416667,23.255208,-0.161458,0.184896,0.390625
L2H13,2,13,12,23.416667,23.601562,0.184896,0.184896,0.3125
L20H2,20,2,12,23.416667,23.24349,-0.173177,0.183594,0.390625
L17H3,17,3,12,23.416667,23.545573,0.128906,0.183594,0.40625
L21H11,21,11,12,23.416667,23.240885,-0.175781,0.183594,0.390625
L4H1,4,1,12,23.416667,23.60026,0.183594,0.183594,0.453125
L13H11,13,11,12,23.416667,23.52474,0.108073,0.183594,0.53125
L13H15,13,15,12,23.416667,23.255208,-0.161458,0.182292,0.359375
